_id,marca_vehiculo,modelo_vehiculo,edad_vehiculo,componente,coste_material,coste_mano_obra
67a100188d8acdc8201d7afe,Jaguar,XE,5,Puerta,218.15,239.97
67a100188d8acdc8201d7aff,Jaguar,XE,5,Faro,130.81,137.35
67a100188d8acdc8201d7b00,Jaguar,XE,5,Parabrisas,144.77,166.49
67a100188d8acdc8201d7b01,Jaguar,XE,5,Luna,142.17,156.39
67a100188d8acdc8201d7b02,Jaguar,XE,5,Ventana,84.46,88.68
67a100188d8acdc8201d7b03,Jaguar,XE,5,Techo,118,135.7
67a100188d8acdc8201d7b04,Jaguar,XE,5,Rueda,94.65,94.65
67a100188d8acdc8201d7b05,Jaguar,XE,5,Parachoques,147.17,161.89
67a100188d8acdc8201d7b06,Jaguar,XE,5,Guardabarros,138.29,145.2
67a100188d8acdc8201d7b07,Jaguar,XE,5,Capo,118.54,130.39
67a100188d8acdc8201d7b08,Jaguar,XE,5,Maletero,89.83,98.81
67a100188d8acdc8201d7b09,Jaguar,XE,5,Motor,388.57,505.14
67a100188d8acdc8201d7b0a,BMW,X3,18,Puerta,101.07,111.18
67a100188d8acdc8201d7b0b,BMW,X3,18,Faro,54.55,57.28
67a100188d8acdc8201d7b0c,BMW,X3,18,Parabrisas,146.38,168.34
67a100188d8acdc8201d7b0d,BMW,X3,18,Luna,115.83,127.41
67a100188d8acdc8201d7b0e,BMW,X3,18,Ventana,75.07,78.82
67a100188d8acdc8201d7b0f,BMW,X3,18,Techo,72.66,83.56
67a100188d8acdc8201d7b10,BMW,X3,18,Rueda,67.12,67.12
67a100198d8acdc8201d7b11,BMW,X3,18,Parachoques,108.3,119.13
67a100198d8acdc8201d7b12,BMW,X3,18,Guardabarros,74.8,78.54
67a100198d8acdc8201d7b13,BMW,X3,18,Capo,117.83,129.61
67a100198d8acdc8201d7b14,BMW,X3,18,Maletero,70.62,77.68
67a100198d8acdc8201d7b15,BMW,X3,18,Motor,232.35,302.06
67a100198d8acdc8201d7b16,Renault,Megane,6,Puerta,139.03,152.93
67a100198d8acdc8201d7b17,Renault,Megane,6,Faro,79.57,83.55
67a100198d8acdc8201d7b18,Renault,Megane,6,Parabrisas,213.23,245.21
67a100198d8acdc8201d7b19,Renault,Megane,6,Luna,208.99,229.89
67a100198d8acdc8201d7b1a,Renault,Megane,6,Ventana,127.33,133.7
67a100198d8acdc8201d7b1b,Renault,Megane,6,Techo,130.89,150.52
67a100198d8acdc8201d7b1c,Renault,Megane,6,Rueda,85.92,85.92
